Profile	ID	A	I_YY	I_ZZ	As_y	As_z	It	Ip	Mass	Shear_center_y	Shear_center_z
SHS 150 / 16	1050	0.008301	0.0000243	0.0000243	0.004151	0.004151	0.00004026	0.00008052	65.2	0	0
SHS 160 / 5	1051	0.003073	0.00001225	0.00001225	0.001537	0.001537	0.00001892	0.00003784	24.1	0	0
SHS 160 / 6.3	1052	0.003831	0.00001499	0.00001499	0.001915	0.001915	0.00002333	0.00004666	30.1	0	0
SHS 160 / 8	1053	0.004795	0.00001831	0.00001831	0.002398	0.002398	0.0000288	0.0000576	37.6	0	0
SHS 160 / 10	1054	0.005893	0.00002186	0.00002186	0.002946	0.002946	0.00003478	0.00006956	46.3	0	0
SHS 160 / 12.5	1055	0.007207	0.00002576	0.00002576	0.003604	0.003604	0.00004158	0.00008316	56.6	0	0
SHS 160 / 14.2	1056	0.008065	0.00002809	0.00002809	0.004033	0.004033	0.00004579	0.00009158	63.3	0	0
SHS 160 / 16	1057	0.008941	0.00003028	0.00003028	0.004471	0.004471	0.00004988	0.00009976	70.2	0	0
SHS 180 / 5	1058	0.003473	0.00001765	0.00001765	0.001737	0.001737	0.00002718	0.00005436	27.3	0	0
SHS 180 / 6.3	1059	0.004335	0.00002168	0.00002168	0.002167	0.002167	0.00003361	0.00006722	34	0	0
SHS 180 / 8	1060	0.005435	0.00002661	0.00002661	0.002718	0.002718	0.00004162	0.00008324	42.7	0	0
SHS 180 / 10	1061	0.006693	0.00003193	0.00003193	0.003346	0.003346	0.00005048	0.00010096	52.5	0	0
SHS 180 / 12.5	1062	0.008207	0.0000379	0.0000379	0.004104	0.004104	0.0000607	0.0001214	64.4	0	0
SHS 180 / 14.2	1063	0.009201	0.00004154	0.00004154	0.004601	0.004601	0.00006711	0.00013422	72.2	0	0
SHS 180 / 16	1064	0.010221	0.00004504	0.00004504	0.005111	0.005111	0.00007343	0.00014686	80.2	0	0
